ID,Name,Designator,Quantity,Manufacturer,Footprint,Manufacturer Part,Type,
1,100nF,"C7,C6,C4,C1,C10,C11,C12,C13",8,SAMSUNG,0402,CL05B104KO5NNNC,SMD,Substitution OK
2,SN74CBTD16210,"U4,U6,U7,U8",4,TI,TSSOP48,SN74CBTD16210,SMD,
3,24MHz,X1,1,Nihon Dempa Kogyo,OSC-SMD_4P-L1.6-W1.2-BL,NX1612SA-24MHZ-STD-CIS-1,SMD,
4,"74LVC3G17DP,125",U5,1,Nexperia,SOT505-2,"74LVC3G17DP,125",SMD,
5,AZ431LANTR-E1,U9,1,Diodes Incorporated,SOT-23-3,AZ431LANTR-E1,SMD,
6,SN74LVC1G07DRLR,U3,1,TI,SOT-553-5,SN74LVC1G07DRLR,SMD,
7,HDR-M-2.54_1x16,"J3,J4,J7,J8",4,Preci Dip,HDR-M-2.54_1X16,350-80-116-00-006101,Thru-hole,Mount on bottom side (see render)
8,18pF,"C8,C9",2,Samsung Electro-Mechanics,0402,CL05C180JB5NNNC,SMD,
9,100K,"RN1,RN2,RN3,RN4",4,UniOhm,04028P,4D02WGJ0104TCE,SMD,Substitution OK
10,BC857BW,Q1,1,Yangzhou Yangjie Elec Tech,SOT-323-3,BC857BW,SMD,
11,BAT54LP-7,"D1,D2,D3",3,DIODES,DFN-2L,BAT54LP-7,SMD,
12,TC2050-IDC-NL,J1,1,Samsung Electro-Mechanics,TC2050-IDC-NL,N/A,DNS,
13,47uF,C3,1,SAMSUNG,C0805,CL21A476MQYNNNE,SMD,Substitution OK
14,22uF,C5,1,FH,C0805,0805B333K500NT,SMD,Substitution OK
15,SN74LVC00APWR,U10,1,TI,TSSOP-14,SN74LVC00APWR,SMD,
16,S25FL127S,U2,1,Cypress Semicon,W-PDFN-8,S25FL127SABMFI103,SMD,
17,TC2030-MCP_TC2030-MCP,J2,1,Samsung Electro-Mechanics,TC2030-IDC-NL,N/A,DNS,
18,10k,"R2,R22,R24,R6,R25",5,UniOhm,0402,TC0225F1002TCE,SMD,Substitution OK
19,511,R21,1,UniOhm,0402,0402WGJ0511TCE,SMD,Substitution OK
20,39K,R23,1,UniOhm,0402,0402WGF4020TCE,SMD,Substitution OK
21,10k,R20,1,UniOhm,0402,0402WGF1003TCE,SMD,Substitution OK
22,100k,R26,1,UniOhm,0402,0402WGF1003TCE,SMD,Substitution OK
23,OSD3358-512M-BSM,U1,1,,BGA256,,SMD,